account_id,date_key,audience_segment_id,placement_id,creative_id,scenario_id,simulation_stage_id,impressions,clicks,spend,payment_conversions,payment_revenue
1,20260401,1,1,1,1,1,11880,475,722.0,33,3300.0
1,20260401,2,2,1,1,1,17780,587,704.4,23,1840.0
1,20260401,3,1,2,1,1,4140,178,263.44,21,2310.0
1,20260402,1,1,1,1,1,12090,484,735.68,34,3400.0
1,20260402,2,2,1,1,1,18240,602,722.4,24,1920.0
1,20260402,3,1,2,1,1,4280,184,272.32,22,2420.0
1,20260403,1,1,1,1,1,12300,492,747.84,34,3400.0
1,20260403,2,2,1,1,1,18700,617,740.4,25,2000.0
1,20260403,3,1,2,1,1,4420,190,281.2,23,2530.0
1,20260404,1,1,1,1,1,12150,486,738.72,34,3400.0
1,20260404,2,2,1,1,1,18500,610,732.0,24,1920.0
1,20260404,3,1,2,1,1,4380,188,278.24,23,2530.0
1,20260405,1,1,1,1,1,12360,494,750.88,35,3500.0
1,20260405,2,2,1,1,1,18960,626,751.2,25,2000.0
1,20260405,3,1,2,1,1,4200,181,267.88,22,2420.0
1,20260405,2,3,2,1,1,8480,348,365.4,11,902.0
1,20260406,1,1,1,1,1,12570,503,764.56,35,3500.0
1,20260406,2,2,1,1,1,19420,641,769.2,26,2080.0
1,20260406,3,1,2,1,1,4340,187,276.76,22,2420.0
1,20260407,1,1,1,1,1,12420,497,755.44,35,3500.0
1,20260407,2,2,1,1,1,19220,634,760.8,25,2000.0
1,20260407,3,1,2,1,1,4300,185,273.8,22,2420.0
1,20260407,2,3,2,1,1,8670,355,372.75,12,984.0
1,20260408,1,1,1,1,2,12630,510,790.5,36,3600.0
1,20260408,2,2,1,1,2,23680,789,962.58,27,2160.0
1,20260408,3,1,2,1,2,4440,191,284.59,23,2530.0
1,20260408,2,3,2,1,2,11990,499,533.93,14,1148.0
1,20260409,1,1,1,1,2,12840,519,804.45,36,3600.0
1,20260409,2,2,1,1,2,24140,804,980.88,27,2160.0
1,20260409,3,1,2,1,2,4260,183,272.67,22,2420.0
1,20260409,2,3,2,1,2,12310,512,547.84,15,1230.0
1,20260410,1,1,1,1,2,12690,513,795.15,36,3600.0
1,20260410,2,2,1,1,2,23940,797,972.34,27,2160.0
1,20260410,3,1,2,1,2,4220,181,269.69,22,2420.0
1,20260410,2,3,2,1,2,12180,507,542.49,15,1230.0
1,20260411,1,1,1,1,3,12900,508,797.56,34,3400.0
1,20260411,2,2,1,1,3,26900,866,1082.5,26,2080.0
1,20260411,3,1,2,1,3,4360,186,277.14,21,2310.0
1,20260411,2,3,2,1,3,14700,588,646.8,15,1230.0
1,20260412,1,1,1,1,3,13110,517,811.69,35,3500.0
1,20260412,2,2,1,1,3,27360,881,1101.25,26,2080.0
1,20260412,3,1,2,1,3,4500,192,286.08,22,2420.0
1,20260412,2,3,2,1,3,15020,601,661.1,16,1312.0
1,20260413,1,1,1,1,3,12960,511,802.27,34,3400.0
1,20260413,2,2,1,1,3,27160,875,1093.75,26,2080.0
1,20260413,3,1,2,1,3,4140,177,263.73,20,2200.0
1,20260413,2,3,2,1,3,14890,596,655.6,15,1230.0
1,20260414,1,1,1,1,3,13170,519,814.83,35,3500.0
1,20260414,2,2,1,1,3,27620,889,1111.25,27,2160.0
1,20260414,3,1,2,1,3,4280,183,272.67,21,2310.0
1,20260414,2,3,2,1,3,15210,608,668.8,16,1312.0
1,20260415,1,1,1,1,4,13380,539,835.45,39,3900.0
1,20260415,2,2,1,1,4,25080,833,1016.26,30,2400.0
1,20260415,3,1,2,1,4,4420,190,283.1,23,2530.0
1,20260415,2,3,2,1,4,14530,602,644.14,19,1558.0
1,20260415,2,2,3,1,4,10140,377,441.09,18,1494.0
1,20260415,2,3,3,1,4,7910,356,363.12,14,1176.0
1,20260416,1,1,1,1,4,13230,533,826.15,38,3800.0
1,20260416,2,2,1,1,4,24880,826,1007.72,30,2400.0
1,20260416,3,1,2,1,4,4380,188,280.12,23,2530.0
1,20260416,2,3,2,1,4,14400,596,637.72,18,1476.0
1,20260416,2,2,3,1,4,10240,381,445.77,18,1494.0
1,20260416,2,3,3,1,4,8010,360,367.2,14,1176.0
1,20260417,1,1,1,1,4,13440,542,840.1,39,3900.0
1,20260417,2,2,1,1,4,25340,841,1026.02,30,2400.0
1,20260417,3,1,2,1,4,4200,181,269.69,22,2420.0
1,20260417,2,3,2,1,4,14720,609,651.63,19,1558.0
1,20260417,2,2,3,1,4,10760,400,468.0,19,1577.0
1,20260417,2,3,3,1,4,8440,380,387.6,15,1260.0
1,20260418,1,1,1,1,4,13650,550,852.5,40,4000.0
1,20260418,2,2,1,1,4,25800,857,1045.54,31,2480.0
1,20260418,3,1,2,1,4,4340,187,278.63,23,2530.0
1,20260418,2,3,2,1,4,15040,623,666.61,19,1558.0
1,20260418,2,2,3,1,4,11280,420,491.4,20,1660.0
1,20260418,2,3,3,1,4,8870,399,406.98,16,1344.0
1,20260419,1,1,1,1,4,13500,544,843.2,39,3900.0
1,20260419,2,2,1,1,4,25600,850,1037.0,31,2480.0
1,20260419,3,1,2,1,4,4300,185,275.65,23,2530.0
1,20260419,2,3,2,1,4,14910,617,660.19,19,1558.0
1,20260419,2,2,3,1,4,11380,423,494.91,20,1660.0
1,20260419,2,3,3,1,4,8970,404,412.08,16,1344.0
1,20260420,1,1,1,1,4,13710,553,857.15,40,4000.0
1,20260420,2,2,1,1,4,26060,865,1055.3,31,2480.0
1,20260420,3,1,2,1,4,4440,191,284.59,23,2530.0
1,20260420,2,3,2,1,4,15230,631,675.17,20,1640.0
1,20260420,2,2,3,1,4,11900,443,518.31,21,1743.0
1,20260420,2,3,3,1,4,9400,423,431.46,17,1428.0
1,20260421,1,1,1,1,4,13920,561,869.55,40,4000.0
1,20260421,2,2,1,1,4,26520,880,1073.6,32,2560.0
1,20260421,3,1,2,1,4,4260,183,272.67,23,2530.0
1,20260421,2,3,2,1,4,15550,644,689.08,20,1640.0
1,20260421,2,2,3,1,4,12420,462,540.54,22,1826.0
1,20260421,2,3,3,1,4,9830,442,450.84,18,1512.0
